queue_ns,queue_ew,queue_sn,queue_ws
3.762,1.3,4.96,400.718
5.108,1.7,5.1,425.897
7.922,2.6,5.3,464.695
11.908,3.3,5.48,505.107
13.523,3.3,5.58,519.877
18.82,4.4,5.78,562.545
22.492,4.5,6.0,587.068
26.167,4.9,6.08,611.735
33.812,5.5,6.36,658.247
42.432,6.2,6.66,706.857
45.285,6.2,6.68,722.425
50.245,6.6,6.82,749.463
55.935,7.2,6.88,779.162
61.43,7.3,7.06,806.438
67.768,7.6,7.18,837.292
72.977,7.8,7.3,862.068
82.375,8.1,7.48,906.432
88.697,8.2,7.66,936.172
94.598,8.5,7.8,963.838
101.245,9.2,7.94,994.635
107.823,9.4,8.14,1024.025
115.982,9.6,8.3,1059.647
124.743,10.1,8.48,1097.42
0.0,2.0,8.64,1162.445
1.585,2.2,8.78,1206.045
4.17,2.8,8.9,1256.245
8.497,3.3,9.04,1323.632
13.447,3.3,9.04,1391.432
18.397,3.3,9.04,1459.232
23.347,3.3,9.04,1527.032
28.297,3.3,9.04,1594.832
0.0,0.4,9.04,1622.705
0.603,0.4,9.04,1694.272
1.203,0.4,9.04,1762.072
1.803,0.4,9.04,1829.872
2.403,0.4,9.04,1897.672
0.0,0.0,9.04,1910.478
0.0,0.0,9.04,1982.045
0.0,0.0,9.04,2053.612
0.0,0.0,9.04,2125.178
0.0,0.0,9.04,2192.978
0.0,0.0,9.04,2260.778
0.0,0.0,9.04,2328.578
0.0,0.0,9.04,2396.378
0.0,0.0,9.04,2464.178
0.0,0.0,9.04,2531.978
0.0,0.0,9.04,2603.545
0.0,0.0,9.04,2675.112
0.0,0.0,9.04,2742.912
0.0,0.0,9.04,2810.712
0.0,0.0,9.04,2878.512
0.0,0.0,9.04,2946.312
0.0,0.0,9.04,3014.112
0.0,0.0,9.04,3081.912
0.0,0.0,9.04,3149.712
0.0,0.0,9.04,3221.278
0.0,0.0,9.04,3292.845
0.0,0.0,9.04,3360.645
0.0,0.0,9.7,3418.587
0.0,0.0,8.92,3318.747
0.0,0.0,8.96,3345.425
0.0,0.0,8.9,3403.358
0.0,0.0,8.76,3432.253
0.0,0.0,8.76,3501.603
0.0,0.0,8.76,3538.103
0.0,0.0,8.76,3607.453
0.0,0.0,8.76,3673.153
0.0,0.0,0.0,0.0
0.0,0.3,0.08,0.128
0.18,0.6,0.28,0.972
1.443,1.3,0.46,3.723
2.137,1.3,0.48,4.987
3.385,1.5,0.64,7.813
5.055,1.7,0.76,11.665
7.955,3.0,1.06,18.542
12.36,3.7,1.28,27.445
0.0,0.6,1.32,31.655
0.323,0.7,1.46,36.882
0.835,0.8,1.52,42.685
1.583,1.1,1.58,49.813
2.75,1.4,1.76,59.042
0.0,0.2,1.82,62.508
0.655,0.7,2.08,78.077
0.0,0.1,2.12,81.43
0.0,0.5,2.22,90.763
0.903,1.3,2.4,108.215
2.898,1.8,2.64,127.105
0.0,0.3,2.7,132.657
0.175,0.6,2.84,142.138
0.0,0.2,2.84,146.162
0.085,0.3,2.88,156.153
0.0,0.1,2.96,163.188
0.278,0.8,3.18,187.613
0.0,0.3,3.26,193.24
0.162,0.5,3.44,210.002
0.0,0.3,3.5,216.383
0.823,1.2,3.74,244.893
1.657,1.4,3.82,260.018
0.0,0.1,3.9,267.442
0.098,0.5,3.98,284.465
0.42,0.7,4.14,300.438
1.72,1.2,4.34,332.365
3.063,1.7,4.64,357.39
4.585,1.7,4.84,381.085
0.0,0.2,4.92,390.423
0.032,0.1,4.96,399.897
0.17,0.5,5.1,425.908
1.15,1.4,5.32,464.712
3.285,2.0,5.48,505.123
6.258,2.9,5.7,547.247
10.77,3.3,6.02,591.09
13.525,3.9,6.08,616.312
19.46,4.5,6.36,663.04
23.33,4.8,6.52,690.962
27.975,5.0,6.7,723.008
31.895,5.3,6.82,749.483
36.798,6.0,6.88,780.902
41.357,6.2,7.08,808.232
46.34,6.4,7.18,837.318
49.628,6.5,7.28,856.022
55.293,6.9,7.38,887.777
60.802,6.9,7.6,918.343
66.118,7.1,7.68,947.68
73.278,7.6,7.88,986.582
85.028,8.5,8.2,1046.817
90.298,8.7,8.32,1072.985
0.0,1.8,8.54,1128.578
0.0,0.4,8.56,1146.412
0.195,0.5,8.68,1179.482
0.527,0.7,8.76,1209.228
1.318,1.2,8.86,1254.818
3.345,1.8,9.0,1321.905
3.403,1.8,9.0,1323.405
6.103,1.8,9.0,1390.905
0.0,0.2,9.0,1409.655
0.153,0.1,9.0,1480.905
0.303,0.1,9.0,1548.405
0.453,0.1,9.0,1615.905
0.603,0.1,9.0,1683.405
0.753,0.1,9.0,1750.905
0.903,0.1,9.0,1818.405
1.053,0.1,9.0,1885.905
1.203,0.1,9.0,1953.405
1.353,0.1,9.0,2020.905
1.503,0.1,9.0,2088.405
0.0,0.0,9.0,2095.905
0.0,0.0,9.0,2167.155
0.0,0.0,9.0,2234.655
0.0,0.0,9.0,2302.155
0.0,0.0,9.0,2369.655
0.0,0.0,9.0,2437.155
0.0,0.0,9.0,2508.405
0.0,0.0,9.0,2575.905
0.0,0.0,9.0,2647.155
0.0,0.0,9.0,2714.655
0.0,0.0,9.0,2782.155
0.0,0.0,9.0,2849.655
0.0,0.0,9.0,2917.155
0.0,0.0,9.0,2984.655
0.0,0.0,9.0,3055.905
0.0,0.0,9.0,3127.155
0.0,0.0,9.0,3194.655
0.0,0.0,9.0,3262.155
0.0,0.0,9.0,3329.655
0.0,0.0,9.0,3397.155
0.0,0.0,9.0,3464.655
0.0,0.0,9.0,3535.905
0.0,0.0,9.0,3603.405
0.0,0.0,9.0,3674.655
0.0,0.0,9.0,3742.155
0.0,0.0,9.0,3809.655
