2025-03-18 00:23:09,305 - Episode 35: Reward=548.1999999999999, Explores=8, Exploits=500, Epsilon=0.0100
2025-03-18 00:23:11,950 - Episode 36: Reward=574.9999999999998, Explores=8, Exploits=506, Epsilon=0.0100
2025-03-18 00:23:14,561 - Episode 37: Reward=536.8499999999995, Explores=4, Exploits=507, Epsilon=0.0100
2025-03-18 00:23:17,474 - Episode 38: Reward=626.95, Explores=2, Exploits=511, Epsilon=0.0100
2025-03-18 00:23:20,099 - Episode 39: Reward=564.9500000000002, Explores=4, Exploits=499, Epsilon=0.0100
2025-03-18 00:23:23,613 - Episode 40: Reward=587.1500000000003, Explores=6, Exploits=504, Epsilon=0.0100
2025-03-18 00:23:27,313 - Episode 41: Reward=551.6999999999992, Explores=5, Exploits=505, Epsilon=0.0100
2025-03-18 00:23:30,863 - Episode 42: Reward=551.2000000000004, Explores=6, Exploits=504, Epsilon=0.0100
2025-03-18 00:23:34,243 - Episode 43: Reward=567.8000000000001, Explores=4, Exploits=513, Epsilon=0.0100
2025-03-18 00:23:37,772 - Episode 44: Reward=581.5999999999999, Explores=5, Exploits=507, Epsilon=0.0100
2025-03-18 00:23:41,711 - Episode 45: Reward=599.6500000000001, Explores=10, Exploits=509, Epsilon=0.0100
2025-03-18 00:23:45,548 - Episode 46: Reward=581.1500000000003, Explores=6, Exploits=501, Epsilon=0.0100
2025-03-18 00:23:49,423 - Episode 47: Reward=562.9999999999999, Explores=4, Exploits=498, Epsilon=0.0100
2025-03-18 00:23:53,015 - Episode 48: Reward=551.7, Explores=6, Exploits=510, Epsilon=0.0100
2025-03-18 00:23:56,540 - Episode 49: Reward=576.55, Explores=5, Exploits=509, Epsilon=0.0100
2025-03-18 00:24:00,424 - Episode 50: Reward=550.5000000000006, Explores=4, Exploits=511, Epsilon=0.0100
2025-03-18 00:24:03,885 - Episode 51: Reward=578.0999999999997, Explores=6, Exploits=506, Epsilon=0.0100
2025-03-18 00:24:07,359 - Episode 52: Reward=576.6500000000001, Explores=2, Exploits=494, Epsilon=0.0100
2025-03-18 00:24:11,136 - Episode 53: Reward=592.1999999999999, Explores=1, Exploits=511, Epsilon=0.0100
2025-03-18 00:24:14,587 - Episode 54: Reward=541.8000000000002, Explores=4, Exploits=505, Epsilon=0.0100
2025-03-18 00:24:18,051 - Episode 55: Reward=554.3999999999994, Explores=6, Exploits=494, Epsilon=0.0100
2025-03-18 00:24:21,391 - Episode 56: Reward=572.2000000000003, Explores=8, Exploits=503, Epsilon=0.0100
2025-03-18 00:24:24,970 - Episode 57: Reward=566.5999999999997, Explores=7, Exploits=501, Epsilon=0.0100
2025-03-18 00:24:28,595 - Episode 58: Reward=528.3500000000004, Explores=7, Exploits=494, Epsilon=0.0100
2025-03-18 00:24:32,213 - Episode 59: Reward=590.8999999999999, Explores=7, Exploits=514, Epsilon=0.0100
2025-03-18 00:24:35,720 - Episode 60: Reward=555.7499999999999, Explores=5, Exploits=496, Epsilon=0.0100
2025-03-18 00:24:38,891 - Episode 61: Reward=529.7999999999997, Explores=3, Exploits=496, Epsilon=0.0100
2025-03-18 00:24:42,404 - Episode 62: Reward=545.65, Explores=9, Exploits=507, Epsilon=0.0100
2025-03-18 00:24:45,741 - Episode 63: Reward=585.5999999999989, Explores=4, Exploits=510, Epsilon=0.0100
2025-03-18 00:24:49,055 - Episode 64: Reward=520.3000000000001, Explores=6, Exploits=500, Epsilon=0.0100
2025-03-18 00:24:52,210 - Episode 65: Reward=560.15, Explores=3, Exploits=501, Epsilon=0.0100
2025-03-18 00:24:55,591 - Episode 66: Reward=575.7000000000011, Explores=4, Exploits=503, Epsilon=0.0100
2025-03-18 00:24:59,943 - Episode 67: Reward=561.2000000000006, Explores=2, Exploits=518, Epsilon=0.0100
2025-03-18 00:25:04,740 - Episode 68: Reward=577.1000000000003, Explores=5, Exploits=504, Epsilon=0.0100
2025-03-18 00:25:08,438 - Episode 69: Reward=572.5999999999997, Explores=7, Exploits=497, Epsilon=0.0100
2025-03-18 00:25:12,291 - Episode 70: Reward=615.9499999999999, Explores=6, Exploits=519, Epsilon=0.0100
2025-03-18 00:28:05,012 - Episode 1: Reward=24.89999999999977, Explores=235, Exploits=203, Epsilon=0.1526
2025-03-18 00:28:07,545 - Episode 2: Reward=431.0500000000004, Explores=27, Exploits=446, Epsilon=0.0143
2025-03-18 00:28:10,146 - Episode 3: Reward=446.2000000000001, Explores=6, Exploits=461, Epsilon=0.0100
2025-03-18 00:28:12,528 - Episode 4: Reward=459.60000000000025, Explores=6, Exploits=456, Epsilon=0.0100
2025-03-18 00:28:15,017 - Episode 5: Reward=461.89999999999975, Explores=5, Exploits=457, Epsilon=0.0100
2025-03-18 00:28:17,475 - Episode 6: Reward=429.7000000000002, Explores=7, Exploits=459, Epsilon=0.0100
